timestamp,value
2022-02-04T00:07:29.033Z,9
2022-01-31T05:03:03.032Z,1
2022-02-02T00:10:28.010Z,8
2022-02-04T08:05:24.032Z,6
2022-02-02T06:10:13.014Z,4
2022-02-03T06:02:13.011Z,6
2022-02-01T06:07:28.001Z,1
2022-02-02T06:11:08.017Z,2
2022-02-01T05:08:01.005Z,9
2022-01-31T05:03:01.030Z,9
2022-02-02T06:01:23.000Z,9
2022-02-04T01:09:23.037Z,4
2022-02-04T00:05:11.034Z,4
2022-01-31T00:04:04.002Z,5
2022-02-04T02:01:26.024Z,3
2022-02-03T00:07:04.014Z,4
2022-01-31T03:03:20.007Z,6
2022-02-04T03:09:01.022Z,9
2022-02-02T04:02:07.012Z,2
2022-02-03T08:05:26.027Z,1
2022-02-04T02:03:11.035Z,8
2022-02-04T00:00:23.024Z,1
2022-01-31T08:08:28.012Z,4
2022-02-02T03:02:24.003Z,4
2022-02-02T05:02:21.014Z,3
2022-02-03T02:04:13.039Z,7
2022-01-31T07:01:10.030Z,6
2022-02-01T04:10:26.024Z,2
2022-01-31T01:10:11.023Z,8
2022-02-02T01:03:06.003Z,9
2022-02-02T23:08:15.030Z,6
2022-02-02T02:01:04.013Z,8
2022-02-02T01:01:22.005Z,3
2022-02-03T08:06:13.028Z,5
2022-02-01T01:01:02.000Z,7
2022-02-01T23:09:14.021Z,5
2022-02-03T02:02:22.022Z,6
2022-02-04T00:04:07.033Z,0
2022-02-04T07:01:15.009Z,7
2022-01-31T06:09:29.026Z,3
2022-02-04T03:05:00.034Z,5
2022-01-31T00:11:20.039Z,5
2022-02-02T05:02:09.005Z,1
2022-02-01T06:01:02.002Z,4
2022-02-03T04:05:13.028Z,7
2022-02-01T03:07:15.004Z,8
2022-01-30T23:05:12.010Z,8
2022-02-04T06:02:29.011Z,5
2022-02-03T02:02:27.031Z,0
2022-02-01T01:07:21.011Z,6
2022-02-03T02:10:06.022Z,5
2022-02-01T02:03:00.036Z,7
2022-02-01T08:09:02.028Z,0
2022-02-04T01:04:27.022Z,0
2022-02-03T07:10:14.011Z,9
2022-02-01T05:07:08.016Z,9
2022-02-02T07:00:07.013Z,3
2022-02-01T07:01:21.034Z,8
2022-02-02T07:11:12.023Z,1
2022-02-03T03:08:21.030Z,4
2022-02-03T02:07:15.023Z,5
2022-02-01T08:04:22.021Z,9
2022-01-31T08:03:13.034Z,4
2022-02-03T04:11:02.032Z,0
2022-02-01T23:02:26.028Z,1
2022-02-01T03:02:21.026Z,2
2022-02-03T01:10:07.028Z,2
2022-02-04T08:07:27.004Z,1
2022-01-31T06:09:08.015Z,2
2022-01-31T23:02:20.038Z,8
2022-02-03T01:05:12.024Z,6
2022-02-04T08:00:18.032Z,8
2022-01-31T02:08:00.016Z,6
2022-01-30T23:08:19.018Z,3
2022-02-04T00:00:12.016Z,5
2022-02-02T04:00:09.001Z,2
2022-01-31T01:09:15.006Z,1
2022-02-01T08:02:09.008Z,2
2022-02-02T08:10:21.020Z,9
2022-02-03T23:06:26.011Z,8
2022-02-01T03:01:26.014Z,8
2022-02-03T00:07:23.003Z,2
2022-02-03T02:02:24.029Z,2
2022-02-02T00:08:22.005Z,1
2022-02-03T03:11:25.020Z,3
2022-02-01T07:04:28.019Z,3
2022-02-01T04:07:01.007Z,9
2022-01-31T03:04:13.036Z,7
2022-02-02T07:01:26.010Z,4
2022-02-01T06:00:11.036Z,4
2022-02-02T00:05:17.007Z,4
2022-02-03T23:01:26.026Z,9
2022-02-02T06:11:19.008Z,9
2022-01-31T07:04:11.022Z,6
2022-02-01T08:07:28.010Z,7
2022-02-03T02:01:09.023Z,2
2022-02-02T06:00:01.030Z,8
2022-02-02T08:02:18.029Z,1
2022-02-01T06:08:15.012Z,3
2022-02-03T04:03:03.026Z,1
2022-02-01T04:05:04.035Z,3
2022-02-04T03:00:00.022Z,7
2022-02-02T06:05:17.003Z,1
2022-01-31T00:09:01.007Z,9
2022-01-31T07:08:07.039Z,9
2022-02-03T03:00:15.039Z,4
2022-02-02T05:01:06.033Z,2
2022-02-02T01:11:08.012Z,9
2022-01-31T04:00:07.029Z,4
2022-01-31T01:08:03.016Z,4
2022-01-31T05:05:25.001Z,0
